,pred_1,pred_2,pred_3,pred_4,chatbot_answer,golden_standard_answer
55,23,75,63,22,"Robin Pemantle, Ryan Baker, Yasmin Kafai, Mark L. Liberman",Ryan Marcus
56,23,75,63,22,"Robin Pemantle, Ryan Baker, Yasmin Kafai, Mark L. Liberman",Shivani Agarwal
57,77,91,2,76,"Norman I. Badler, Jianbo Shi, Daniel E. Koditschek, Justin Gottschlich",Mark L. Liberman
58,23,75,63,22,"Robin Pemantle, Ryan Baker, Yasmin Kafai, Mark L. Liberman",Aaron Roth
59,76,32,88,71,"Justin Gottschlich, Surbi Goel, Eric Weingarten, Eric Eaton",Justin Gottschlich
60,23,75,63,22,"Robin Pemantle, Ryan Baker, Yasmin Kafai, Mark L. Liberman",Mingmin Zhao
61,98,63,75,59,"Stephanie Weirich, Yasmin Kafai, Ryan Baker, Sanjeev Khanna",Yasmin Kafai
62,10,55,88,11,"Tal Rabin, Brett Hemenway, Eric Weingarten, Vincent Liu",Tal Rabin
63,100,26,94,90,"Swapneel Seth, Benjamin C. Pierce, Oleg Sokolsky, Harry Smith",Mayur Naik
64,23,75,63,22,"Robin Pemantle, Ryan Baker, Yasmin Kafai, Mark L. Liberman",Eric Eaton
65,23,75,63,22,"Robin Pemantle, Ryan Baker, Yasmin Kafai, Mark L. Liberman",Daniel Hashimoto
66,23,75,63,22,"Robin Pemantle, Ryan Baker, Yasmin Kafai, Mark L. Liberman",Stephen Lane
67,23,75,63,22,"Robin Pemantle, Ryan Baker, Yasmin Kafai, Mark L. Liberman",Alejandro Ribeiro
68,23,75,63,22,"Robin Pemantle, Ryan Baker, Yasmin Kafai, Mark L. Liberman",Weijie Su
69,42,71,91,31,"Nadia Figueroa, Eric Eaton, Jianbo Shi, Michael Posa",Micheal Posa
70,4,76,89,32,"Lingjie Liu, Justin Gottschlich, Eric Wong, Surbi Goel",Mark Yatskar
